Date,Bee_color,Nest_Number,Time_Entered,Time_Exited,Time_Entered_fixed,Time_Exited_fixed,Time_Entered_dt,Time_Exited_dt,Duration_minutes,ground_temperature_F
2025-06-25,White,15,12:17,12:20,12:17 PM,12:20 PM,2025-06-25T12:17:00Z,2025-06-25T12:20:00Z,3,75
2025-06-25,White,15,12:37,12:42,12:37 PM,12:42 PM,2025-06-25T12:37:00Z,2025-06-25T12:42:00Z,5,79
2025-06-25,White,15,1:14,1:18,1:14 PM,1:18 PM,2025-06-25T13:14:00Z,2025-06-25T13:18:00Z,4,82
2025-06-25,GP,12,12:04,12:06,12:04 PM,12:06 PM,2025-06-25T12:04:00Z,2025-06-25T12:06:00Z,2,73
2025-06-25,GP,12,12:48,12:53,12:48 PM,12:53 PM,2025-06-25T12:48:00Z,2025-06-25T12:53:00Z,5,80
2025-06-25,GP,12,1:36,1:44,1:36 PM,1:44 PM,2025-06-25T13:36:00Z,2025-06-25T13:44:00Z,8,86
2025-06-25,PY,29,12:16,1:09,12:16 PM,1:09 PM,2025-06-25T12:16:00Z,2025-06-25T13:09:00Z,53,80
2025-06-25,Dg/O,17,12:24,12:44,12:24 PM,12:44 PM,2025-06-25T12:24:00Z,2025-06-25T12:44:00Z,20,79
2025-06-25,Dg/O,17,1:48,1:52,1:48 PM,1:52 PM,2025-06-25T13:48:00Z,2025-06-25T13:52:00Z,4,87
2025-06-25,Dg/Pi,3,1:19,1:21,1:19 PM,1:21 PM,2025-06-25T13:19:00Z,2025-06-25T13:21:00Z,2,82
2025-06-25,GY,20,12:41,12:43,12:41 PM,12:43 PM,2025-06-25T12:41:00Z,2025-06-25T12:43:00Z,2,79
2025-06-25,BG,35,12:35,1:38,12:35 PM,1:38 PM,2025-06-25T12:35:00Z,2025-06-25T13:38:00Z,63,86
2025-06-25,BG,35,1:12,1:24,1:12 PM,1:24 PM,2025-06-25T13:12:00Z,2025-06-25T13:24:00Z,12,84
2025-06-25,Au/G,10,12:49,1:31,12:49 PM,1:31 PM,2025-06-25T12:49:00Z,2025-06-25T13:31:00Z,42,84
2025-06-25,Unknown,27,1:00,1:02,1:00 PM,1:02 PM,2025-06-25T13:00:00Z,2025-06-25T13:02:00Z,2,80
2025-06-25,Unknown,33,1:14,1:15,1:14 PM,1:15 PM,2025-06-25T13:14:00Z,2025-06-25T13:15:00Z,1,82
2025-06-25,Unknown,33,1:15,1:18,1:15 PM,1:18 PM,2025-06-25T13:15:00Z,2025-06-25T13:18:00Z,3,82
2025-06-25,Unknown,12,1:34,1:35,1:34 PM,1:35 PM,2025-06-25T13:34:00Z,2025-06-25T13:35:00Z,1,86
2025-06-25,Unknown,22,1:59,2:09,1:59 PM,2:09 PM,2025-06-25T13:59:00Z,2025-06-25T14:09:00Z,10,87
2025-06-25,Pi/W,28,1:04,1:08,1:04 PM,1:08 PM,2025-06-25T13:04:00Z,2025-06-25T13:08:00Z,4,80
2025-06-25,BW,13,1:24,1:27,1:24 PM,1:27 PM,2025-06-25T13:24:00Z,2025-06-25T13:27:00Z,3,84
2025-06-25,BW,13,1:43,1:45,1:43 PM,1:45 PM,2025-06-25T13:43:00Z,2025-06-25T13:45:00Z,2,86
2025-06-26,Dg/O,17,11:50,12:13,11:50 AM,12:13 PM,2025-06-26T11:50:00Z,2025-06-26T12:13:00Z,23,78
2025-06-26,Dg/O,17,1:34,1:40,1:34 PM,1:40 PM,2025-06-26T13:34:00Z,2025-06-26T13:40:00Z,6,84
2025-06-26,Dg/Pi,3,12:04,12:17,12:04 PM,12:17 PM,2025-06-26T12:04:00Z,2025-06-26T12:17:00Z,13,78
2025-06-26,GY,19,1:09,1:14,1:09 PM,1:14 PM,2025-06-26T13:09:00Z,2025-06-26T13:14:00Z,5,84
2025-06-26,GY,19,1:28,1:31,1:28 PM,1:31 PM,2025-06-26T13:28:00Z,2025-06-26T13:31:00Z,3,84
2025-06-26,Dg/P,19,1:19,1:23,1:19 PM,1:23 PM,2025-06-26T13:19:00Z,2025-06-26T13:23:00Z,4,84
2025-06-26,Dg/P,19,1:49,1:51,1:49 PM,1:51 PM,2025-06-26T13:49:00Z,2025-06-26T13:51:00Z,2,84
2025-06-26,Dg/P,19,2:11,2:15,2:11 PM,2:15 PM,2025-06-26T14:11:00Z,2025-06-26T14:15:00Z,4,87
2025-06-26,Unknown,20,1:25,1:59,1:25 PM,1:59 PM,2025-06-26T13:25:00Z,2025-06-26T13:59:00Z,34,86
2025-06-26,Unknown,27,1:27,1:27,1:27 PM,1:27 PM,2025-06-26T13:27:00Z,2025-06-26T13:27:00Z,0,84
2025-06-26,Unknown,29,1:31,1:31,1:31 PM,1:31 PM,2025-06-26T13:31:00Z,2025-06-26T13:31:00Z,0,84
2025-06-30,BP,25,12:07,12:15,12:07 PM,12:15 PM,2025-06-30T12:07:00Z,2025-06-30T12:15:00Z,8,77
2025-06-30,BP,25,12:41,12:50,12:41 PM,12:50 PM,2025-06-30T12:41:00Z,2025-06-30T12:50:00Z,9,78
2025-06-30,BP,25,1:22,1:26,1:22 PM,1:26 PM,2025-06-30T13:22:00Z,2025-06-30T13:26:00Z,4,84
2025-06-30,PS,33,1:21,1:34,1:21 PM,1:34 PM,2025-06-30T13:21:00Z,2025-06-30T13:34:00Z,13,86
2025-06-30,OS,20,11:14,11:41,11:14 AM,11:41 AM,2025-06-30T11:14:00Z,2025-06-30T11:41:00Z,27,77
2025-06-30,OS,20,12:54,12:56,12:54 PM,12:56 PM,2025-06-30T12:54:00Z,2025-06-30T12:56:00Z,2,80
2025-06-30,Pi/S,19,11:20,11:31,11:20 AM,11:31 AM,2025-06-30T11:20:00Z,2025-06-30T11:31:00Z,11,75
2025-06-30,white,15,11:54,12:13,11:54 AM,12:13 PM,2025-06-30T11:54:00Z,2025-06-30T12:13:00Z,19,77
2025-06-30,Au/G,10,12:22,12:23,12:22 PM,12:23 PM,2025-06-30T12:22:00Z,2025-06-30T12:23:00Z,1,78
2025-06-30,Au/G,10,12:23,12:36,12:23 PM,12:36 PM,2025-06-30T12:23:00Z,2025-06-30T12:36:00Z,13,78
2025-06-30,Au/G,10,12:37,12:54,12:37 PM,12:54 PM,2025-06-30T12:37:00Z,2025-06-30T12:54:00Z,17,80
2025-06-30,Unknown,29,11:27,11:31,11:27 AM,11:31 AM,2025-06-30T11:27:00Z,2025-06-30T11:31:00Z,4,75
2025-07-01,PS,33,12:04,12:11,12:04 PM,12:11 PM,2025-07-01T12:04:00Z,2025-07-01T12:11:00Z,7,84
2025-07-01,PS,33,12:36,12:43,12:36 PM,12:43 PM,2025-07-01T12:36:00Z,2025-07-01T12:43:00Z,7,87
2025-07-01,PS,33,1:07,1:13,1:07 PM,1:13 PM,2025-07-01T13:07:00Z,2025-07-01T13:13:00Z,6,86
2025-07-01,PS,33,1:32,1:36,1:32 PM,1:36 PM,2025-07-01T13:32:00Z,2025-07-01T13:36:00Z,4,82
2025-07-01,White,15,1:20,1:37,1:20 PM,1:37 PM,2025-07-01T13:20:00Z,2025-07-01T13:37:00Z,17,82
2025-07-01,White,15,2:03,2:57,2:03 PM,2:57 PM,2025-07-01T14:03:00Z,2025-07-01T14:57:00Z,54,84
2025-07-01,male bee,13,11:20,11:34,11:20 AM,11:34 AM,2025-07-01T11:20:00Z,2025-07-01T11:34:00Z,14,77
2025-07-01,Au/G,10,11:53,11:53,11:53 AM,11:53 AM,2025-07-01T11:53:00Z,2025-07-01T11:53:00Z,0,82
2025-07-01,Au/G,10,11:53,11:57,11:53 AM,11:57 AM,2025-07-01T11:53:00Z,2025-07-01T11:57:00Z,4,82
2025-07-01,Au/G,10,12:25,1:02,12:25 PM,1:02 PM,2025-07-01T12:25:00Z,2025-07-01T13:02:00Z,37,86
2025-07-01,PY,22,12:00,12:26,12:00 PM,12:26 PM,2025-07-01T12:00:00Z,2025-07-01T12:26:00Z,26,86
2025-07-01,PY,9,1:36,1:36,1:36 PM,1:36 PM,2025-07-01T13:36:00Z,2025-07-01T13:36:00Z,0,82
2025-07-01,GP,12,12:02,12:08,12:02 PM,12:08 PM,2025-07-01T12:02:00Z,2025-07-01T12:08:00Z,6,84
2025-07-01,GP,12,12:30,12:35,12:30 PM,12:35 PM,2025-07-01T12:30:00Z,2025-07-01T12:35:00Z,5,86
2025-07-01,GP,12,1:08,1:17,1:08 PM,1:17 PM,2025-07-01T13:08:00Z,2025-07-01T13:17:00Z,9,86
