Date,Time Entered,Time Exited,time_en_with_ampm,time_ex_with_ampm,time_en_fixed,time_ex_fixed,time_ex_datetime,time_ex_24hr,exit_datetime,date_only
2025-06-25,1:48,1:52,1:48 PM,1:52 PM,13:48:00,13:52:00,2025-06-25T13:52:00Z,13:52:00,2025-06-25T13:52:00Z,2025-06-25
2025-06-25,N/A,12:33,NA,12:33 PM,NA,12:33:00,2025-06-25T12:33:00Z,12:33:00,2025-06-25T12:33:00Z,2025-06-25
2025-06-25,1:19,1:21,1:19 PM,1:21 PM,13:19:00,13:21:00,2025-06-25T13:21:00Z,13:21:00,2025-06-25T13:21:00Z,2025-06-25
2025-06-25,12:41,12:43,12:41 PM,12:43 PM,12:41:00,12:43:00,2025-06-25T12:43:00Z,12:43:00,2025-06-25T12:43:00Z,2025-06-25
2025-06-25,N/A,12:41,NA,12:41 PM,NA,12:41:00,2025-06-25T12:41:00Z,12:41:00,2025-06-25T12:41:00Z,2025-06-25
2025-06-25,12:35,1:38,12:35 PM,1:38 PM,12:35:00,13:38:00,2025-06-25T13:38:00Z,13:38:00,2025-06-25T13:38:00Z,2025-06-25
2025-06-25,1:12,1:24,1:12 PM,1:24 PM,13:12:00,13:24:00,2025-06-25T13:24:00Z,13:24:00,2025-06-25T13:24:00Z,2025-06-25
2025-06-25,N/A,12:47,NA,12:47 PM,NA,12:47:00,2025-06-25T12:47:00Z,12:47:00,2025-06-25T12:47:00Z,2025-06-25
2025-06-25,N/A,12:48,NA,12:48 PM,NA,12:48:00,2025-06-25T12:48:00Z,12:48:00,2025-06-25T12:48:00Z,2025-06-25
2025-06-25,12:49,1:31,12:49 PM,1:31 PM,12:49:00,13:31:00,2025-06-25T13:31:00Z,13:31:00,2025-06-25T13:31:00Z,2025-06-25
2025-06-25,1:00,1:02,1:00 PM,1:02 PM,13:00:00,13:02:00,2025-06-25T13:02:00Z,13:02:00,2025-06-25T13:02:00Z,2025-06-25
2025-06-25,1:14,1:15,1:14 PM,1:15 PM,13:14:00,13:15:00,2025-06-25T13:15:00Z,13:15:00,2025-06-25T13:15:00Z,2025-06-25
2025-06-25,1:15,1:18,1:15 PM,1:18 PM,13:15:00,13:18:00,2025-06-25T13:18:00Z,13:18:00,2025-06-25T13:18:00Z,2025-06-25
2025-06-25,1:34,1:35,1:34 PM,1:35 PM,13:34:00,13:35:00,2025-06-25T13:35:00Z,13:35:00,2025-06-25T13:35:00Z,2025-06-25
