Date,Time Entered,Time Exited,bee_exit_datetime,datetime_ground_temp,ground_temperature_F,time_diff_secs,station,ws_datetime,tmpf,relh,skyc1,ws_time_diff_secs
2025-06-23,12:49,12:57,2025-06-23T12:57:00Z,2025-06-23T12:55:00Z,95,240,SBA,2025-06-23T12:53:00Z,68,65.48,SCT,240
2025-06-23,1:00,1:02,2025-06-23T13:02:00Z,2025-06-23T13:05:00Z,93,540,SBA,2025-06-23T12:53:00Z,68,65.48,SCT,540
2025-06-23,1:10,1:16,2025-06-23T13:16:00Z,2025-06-23T13:15:00Z,93,1380,SBA,2025-06-23T12:53:00Z,68,65.48,SCT,1380
2025-06-23,12:51,1:28,2025-06-23T13:28:00Z,2025-06-23T13:25:00Z,94,1500,SBA,2025-06-23T13:53:00Z,68,65.48,CLR,1500
2025-06-24,N/A,10:19,2025-06-24T10:19:00Z,2025-06-24T10:15:00Z,73,1560,SBA,2025-06-24T09:53:00Z,61,83.6,OVC,1560
2025-06-24,10:39,10:42,2025-06-24T10:42:00Z,2025-06-24T10:45:00Z,73,660,SBA,2025-06-24T10:53:00Z,64,77.99,FEW,660
2025-06-24,N/A,10:45,2025-06-24T10:45:00Z,2025-06-24T10:45:00Z,73,480,SBA,2025-06-24T10:53:00Z,64,77.99,FEW,480
2025-06-24,N/A,10:52,2025-06-24T10:52:00Z,2025-06-24T10:55:00Z,75,60,SBA,2025-06-24T10:53:00Z,64,77.99,FEW,60
2025-06-24,10:52,10:53,2025-06-24T10:53:00Z,2025-06-24T10:55:00Z,75,0,SBA,2025-06-24T10:53:00Z,64,77.99,FEW,0
2025-06-24,N/A,10:57,2025-06-24T10:57:00Z,2025-06-24T10:55:00Z,75,240,SBA,2025-06-24T10:53:00Z,64,77.99,FEW,240
2025-06-24,N/A,11:01,2025-06-24T11:01:00Z,2025-06-24T11:05:00Z,77,480,SBA,2025-06-24T10:53:00Z,64,77.99,FEW,480
2025-06-24,N/A,11:04,2025-06-24T11:04:00Z,2025-06-24T11:05:00Z,77,660,SBA,2025-06-24T10:53:00Z,64,77.99,FEW,660
2025-06-24,N/A,11:10,2025-06-24T11:10:00Z,2025-06-24T11:05:00Z,77,1020,SBA,2025-06-24T10:53:00Z,64,77.99,FEW,1020
2025-06-24,N/A,11:17,2025-06-24T11:17:00Z,2025-06-24T11:15:00Z,77,1440,SBA,2025-06-24T10:53:00Z,64,77.99,FEW,1440
2025-06-24,N/A,11:23,2025-06-24T11:23:00Z,2025-06-24T11:25:00Z,77,1800,SBA,2025-06-24T10:53:00Z,64,77.99,FEW,1800
2025-06-24,11:12,11:27,2025-06-24T11:27:00Z,2025-06-24T11:25:00Z,77,1560,SBA,2025-06-24T11:53:00Z,65,75.32,FEW,1560
2025-06-24,N/A,11:28,2025-06-24T11:28:00Z,2025-06-24T11:25:00Z,77,1500,SBA,2025-06-24T11:53:00Z,65,75.32,FEW,1500
2025-06-24,N/A,11:32,2025-06-24T11:32:00Z,2025-06-24T11:35:00Z,78,1260,SBA,2025-06-24T11:53:00Z,65,75.32,FEW,1260
2025-06-24,11:32,11:38,2025-06-24T11:38:00Z,2025-06-24T11:35:00Z,78,900,SBA,2025-06-24T11:53:00Z,65,75.32,FEW,900
2025-06-24,N/A,11:42,2025-06-24T11:42:00Z,2025-06-24T11:45:00Z,78,660,SBA,2025-06-24T11:53:00Z,65,75.32,FEW,660
2025-06-24,11:58,11:58,2025-06-24T11:58:00Z,2025-06-24T11:55:00Z,77,300,SBA,2025-06-24T11:53:00Z,65,75.32,FEW,300
2025-06-24,N/A,12:00,2025-06-24T12:00:00Z,2025-06-24T11:55:00Z,77,420,SBA,2025-06-24T11:53:00Z,65,75.32,FEW,420
2025-06-24,12:03,12:04,2025-06-24T12:04:00Z,2025-06-24T12:05:00Z,77,660,SBA,2025-06-24T11:53:00Z,65,75.32,FEW,660
2025-06-24,N/A,12:07,2025-06-24T12:07:00Z,2025-06-24T12:05:00Z,77,840,SBA,2025-06-24T11:53:00Z,65,75.32,FEW,840
2025-06-24,12:02,12:11,2025-06-24T12:11:00Z,2025-06-24T12:15:00Z,77,1080,SBA,2025-06-24T11:53:00Z,65,75.32,FEW,1080
2025-06-24,12:17,12:19,2025-06-24T12:19:00Z,2025-06-24T12:15:00Z,77,1560,SBA,2025-06-24T11:53:00Z,65,75.32,FEW,1560
2025-06-24,N/A,12:20,2025-06-24T12:20:00Z,2025-06-24T12:15:00Z,77,1620,SBA,2025-06-24T11:53:00Z,65,75.32,FEW,1620
2025-06-24,12:27,12:31,2025-06-24T12:31:00Z,2025-06-24T12:35:00Z,78,1320,SBA,2025-06-24T12:53:00Z,64,75.22,OVC,1320
2025-06-24,12:31,12:33,2025-06-24T12:33:00Z,2025-06-24T12:35:00Z,78,1200,SBA,2025-06-24T12:53:00Z,64,75.22,OVC,1200
2025-06-24,12:34,12:37,2025-06-24T12:37:00Z,2025-06-24T12:35:00Z,78,960,SBA,2025-06-24T12:53:00Z,64,75.22,OVC,960
2025-06-24,12:41,12:42,2025-06-24T12:42:00Z,2025-06-24T12:45:00Z,77,660,SBA,2025-06-24T12:53:00Z,64,75.22,OVC,660
2025-06-24,12:37,12:45,2025-06-24T12:45:00Z,2025-06-24T12:45:00Z,77,480,SBA,2025-06-24T12:53:00Z,64,75.22,OVC,480
2025-06-24,12:47,12:49,2025-06-24T12:49:00Z,2025-06-24T12:45:00Z,77,240,SBA,2025-06-24T12:53:00Z,64,75.22,OVC,240
